meeting_id,studies_id,meeting_date,language_id,translator_id,lecturer_id,duration,place_limit,module_id,topic_id,meeting_name,meeting_type_id
42,3,2023-02-16,2,1,13,180,10,9,0,Cloud Automation and Orchestration,4
43,3,2023-02-19,1,4,1,90,10,9,0,Using Cloud for Application Development,4
44,3,2023-02-21,0,,1,180,10,9,0,Cost Management in the Cloud,4
45,3,2023-02-22,2,2,12,45,10,9,0,Performance Optimization Techniques,4
46,3,2023-02-24,0,,3,135,10,9,0,Implementing Backup and Disaster Recovery,4
47,3,2023-02-25,0,,2,45,10,10,0,IoT and the Cloud: A Perfect Match,4
48,3,2023-02-27,2,0,11,135,10,10,0,Exploring Edge Computing,4
49,3,2023-03-01,2,2,14,45,10,10,0,Competitive Advantage with Cloud Technology,4
50,3,2023-03-03,2,2,4,135,10,10,0,Future Opportunities in Cloud Innovation,4
51,3,2023-03-04,0,,0,135,10,10,0,Driving Innovation with Cloud Computing,4
52,3,2023-03-05,1,4,1,135,10,10,0,Cloud-Based Artificial Intelligence Applications,4
53,3,2023-03-07,0,,1,135,10,10,0,Enhancing Customer Experience with Cloud Solutions,4
54,3,2023-03-08,1,4,11,180,10,10,0,Cloud-Enabled Product Development,4
55,3,2023-03-12,0,,11,45,10,10,0,Scaling Businesses with the Cloud,4
56,4,2023-02-24,1,0,9,135,10,11,0,Continuous Improvement in Projects,2
57,4,2023-02-27,0,,8,135,10,11,0,Delivering Projects On-Time and On-Budget,3
58,4,2023-02-28,0,,3,180,10,11,0,Innovation in Project Delivery,2
59,4,2023-03-01,0,,4,135,10,12,0,Risk Identification and Mitigation,3
60,4,2023-03-03,1,3,1,45,10,12,0,Closing Projects Effectively,3
61,4,2023-03-05,0,,12,45,10,12,0,Introduction to Project Management,2
62,4,2023-03-06,0,,7,180,10,12,0,Understanding Project Life Cycles,2
63,4,2023-03-08,2,2,3,180,10,12,0,Defining Roles and Responsibilities,2
64,4,2023-03-10,1,4,1,90,10,12,0,Key Skills for Project Managers,2
65,4,2023-03-11,2,0,6,90,10,12,0,Initiating a Project Successfully,1
66,4,2023-03-14,1,4,0,135,10,13,0,Backlog Prioritization Techniques,2
67,4,2023-03-16,0,,2,180,10,13,0,Monitoring Progress with Agile Metrics,2
68,4,2023-03-17,0,,0,90,10,13,0,Conducting Retrospectives,2
69,4,2023-03-19,1,0,13,45,10,13,0,Adapting Agile for Large Organizations,2
70,4,2023-03-22,2,1,12,90,10,13,0,Case Studies in Agile Project Success,2
71,4,2023-03-24,0,,9,90,10,13,0,Introduction to Agile Methodologies,2
72,4,2023-03-26,0,,8,135,10,14,0,Choosing the Right Tool for Your Team,2
73,4,2023-03-29,2,1,12,45,10,14,0,Using Gantt Charts for Planning,2
74,4,2023-04-01,0,,2,45,10,14,0,Leveraging Collaboration Tools,2
75,4,2023-04-02,0,,4,90,10,14,0,Tracking Progress with Dashboards,2
