user_id,studies_id,meeting_id,was_present,did_makeup
99,2,15,1,0
87,2,15,1,0
45,2,15,1,0
38,2,15,1,0
56,2,15,1,0
30,2,16,1,0
63,2,16,0,0
79,2,16,1,0
84,2,16,1,0
95,2,16,1,0
99,2,16,1,0
87,2,16,1,0
45,2,16,1,0
38,2,16,1,0
56,2,16,1,0
30,2,17,1,0
63,2,17,0,0
79,2,17,1,0
84,2,17,1,0
95,2,17,1,0
99,2,17,1,0
87,2,17,0,0
45,2,17,1,0
38,2,17,1,0
56,2,17,1,0
30,2,18,0,0
63,2,18,1,0
79,2,18,1,0
84,2,18,1,0
95,2,18,1,0
99,2,18,1,0
87,2,18,1,0
45,2,18,1,0
38,2,18,1,0
56,2,18,1,0
30,2,19,1,0
63,2,19,1,0
79,2,19,1,0
84,2,19,1,0
95,2,19,1,0
99,2,19,1,0
87,2,19,1,0
45,2,19,1,0
38,2,19,0,0
56,2,19,1,0
30,2,20,1,0
63,2,20,1,0
79,2,20,1,0
84,2,20,0,0
95,2,20,1,0
99,2,20,1,0
87,2,20,1,0
45,2,20,1,0
38,2,20,1,0
56,2,20,1,0
30,2,21,1,0
63,2,21,0,0
79,2,21,1,0
84,2,21,0,0
95,2,21,0,0
99,2,21,1,0
87,2,21,1,0
45,2,21,1,0
38,2,21,1,0
56,2,21,0,0
18,3,22,1,0
22,3,22,1,0
45,3,22,1,0
85,3,22,1,0
10,3,22,1,0
14,3,22,1,0
17,3,22,1,0
35,3,22,1,0
75,3,22,0,0
84,3,22,1,0
18,3,23,1,0
22,3,23,1,0
45,3,23,1,0
85,3,23,1,0
10,3,23,1,0
14,3,23,0,0
17,3,23,1,0
35,3,23,1,0
75,3,23,1,0
84,3,23,1,0
18,3,24,1,0
22,3,24,1,0
45,3,24,1,0
85,3,24,1,0
10,3,24,1,0
14,3,24,0,0
17,3,24,1,0
35,3,24,1,0
75,3,24,1,0
84,3,24,1,0
18,3,25,1,0
22,3,25,1,0
45,3,25,0,0
85,3,25,1,0
10,3,25,0,0
14,3,25,1,0
17,3,25,1,0
35,3,25,1,0
75,3,25,1,0
84,3,25,1,0
18,3,26,1,0
22,3,26,1,0
45,3,26,1,0
85,3,26,1,0
10,3,26,1,0
14,3,26,1,0
17,3,26,0,0
35,3,26,1,0
75,3,26,1,0
84,3,26,1,0
18,3,27,1,0
22,3,27,1,0
45,3,27,0,0
85,3,27,1,0
10,3,27,1,0
14,3,27,1,0
17,3,27,1,0
35,3,27,1,0
75,3,27,1,0
84,3,27,1,0
18,3,28,1,0
22,3,28,1,0
45,3,28,1,0
85,3,28,1,0
10,3,28,1,0
14,3,28,1,0
17,3,28,1,0
35,3,28,1,0
75,3,28,1,0
84,3,28,1,0
18,3,29,1,0
22,3,29,1,0
45,3,29,0,0
85,3,29,1,0
10,3,29,0,0
14,3,29,1,0
17,3,29,1,0
35,3,29,1,0
75,3,29,1,0
84,3,29,1,0
18,3,30,1,0
22,3,30,1,0
45,3,30,1,0
85,3,30,1,0
10,3,30,1,0
14,3,30,1,0
17,3,30,1,0
35,3,30,1,0
75,3,30,1,0
84,3,30,0,0
18,3,31,1,0
22,3,31,1,0
45,3,31,1,0
85,3,31,1,0
10,3,31,1,0
14,3,31,1,0
17,3,31,1,0
35,3,31,1,0
75,3,31,0,0
84,3,31,1,0
18,3,32,1,0
22,3,32,1,0
45,3,32,1,0
85,3,32,1,0
10,3,32,1,0
14,3,32,1,0
17,3,32,1,0
35,3,32,1,0
75,3,32,1,0
84,3,32,1,0
18,3,33,1,0
22,3,33,1,0
45,3,33,1,0
85,3,33,1,0
10,3,33,1,0
14,3,33,1,0
17,3,33,1,0
35,3,33,1,0
75,3,33,1,0
84,3,33,1,0
18,3,34,1,0
22,3,34,1,0
45,3,34,1,0
85,3,34,0,0
10,3,34,1,0
14,3,34,1,0
17,3,34,1,0
35,3,34,1,0
75,3,34,1,0
84,3,34,1,0
18,3,35,1,0
22,3,35,1,0
45,3,35,1,0
85,3,35,1,0
10,3,35,1,0
14,3,35,1,0
17,3,35,1,0
35,3,35,1,0
75,3,35,1,0
84,3,35,1,0
18,3,36,1,0
22,3,36,1,0
45,3,36,0,0
85,3,36,1,0
10,3,36,1,0
14,3,36,1,0
17,3,36,1,0
35,3,36,1,0
75,3,36,1,0
84,3,36,0,0
18,3,37,1,0
22,3,37,1,0
45,3,37,0,0
85,3,37,1,0
10,3,37,1,0
14,3,37,0,0
17,3,37,0,0
35,3,37,1,0
75,3,37,1,0
84,3,37,1,0
18,3,38,1,0
22,3,38,0,0
45,3,38,1,0
85,3,38,1,0
10,3,38,1,0
14,3,38,1,0
17,3,38,1,0
35,3,38,1,0
75,3,38,1,0
84,3,38,1,0
95,4,39,1,0
43,4,39,1,0
36,4,39,1,0
65,4,39,1,0
93,4,39,1,0
32,4,39,1,0
53,4,39,0,0
69,4,39,1,0
86,4,39,1,0
39,4,39,0,0
95,4,40,1,0
43,4,40,1,0
36,4,40,1,0
65,4,40,1,0
93,4,40,1,0
32,4,40,1,0
53,4,40,1,0
69,4,40,1,0
86,4,40,1,0
39,4,40,1,0
95,4,41,1,0
43,4,41,1,0
36,4,41,1,0
65,4,41,1,0
93,4,41,1,0
32,4,41,1,0
53,4,41,1,0
69,4,41,1,0
86,4,41,1,0
39,4,41,1,0
95,4,42,1,0
43,4,42,1,0
36,4,42,1,0
65,4,42,1,0
93,4,42,1,0
32,4,42,1,0
53,4,42,1,0
69,4,42,0,0
86,4,42,1,0
39,4,42,1,0
95,4,43,1,0
43,4,43,1,0
36,4,43,1,0
65,4,43,1,0
93,4,43,0,0
32,4,43,1,0
53,4,43,1,0
69,4,43,1,0
86,4,43,1,0
39,4,43,1,0
95,4,44,1,0
43,4,44,1,0
36,4,44,1,0
65,4,44,1,0
93,4,44,1,0
32,4,44,1,0
53,4,44,1,0
69,4,44,1,0
86,4,44,1,0
39,4,44,1,0
95,4,45,1,0
43,4,45,1,0
36,4,45,1,0
65,4,45,1,0
93,4,45,1,0
32,4,45,1,0
53,4,45,1,0
69,4,45,1,0
86,4,45,0,0
39,4,45,1,0
95,4,46,1,0
43,4,46,1,0
36,4,46,1,0
65,4,46,1,0
93,4,46,1,0
32,4,46,1,0
53,4,46,1,0
69,4,46,1,0
86,4,46,1,0
39,4,46,1,0
95,4,47,1,0
43,4,47,1,0
36,4,47,1,0
65,4,47,1,0
93,4,47,1,0
32,4,47,1,0
53,4,47,1,0
69,4,47,1,0
86,4,47,1,0
39,4,47,1,0
95,4,48,0,0
43,4,48,1,0
36,4,48,1,0
65,4,48,0,0
93,4,48,1,0
32,4,48,1,0
53,4,48,1,0
69,4,48,1,0
86,4,48,1,0
39,4,48,1,0
95,4,49,0,0
43,4,49,1,0
36,4,49,1,0
65,4,49,0,0
93,4,49,1,0
32,4,49,1,0
53,4,49,0,0
69,4,49,1,0
86,4,49,1,0
39,4,49,1,0
95,4,50,1,0
43,4,50,1,0
36,4,50,0,0
65,4,50,1,0
93,4,50,1,0
32,4,50,1,0
53,4,50,1,0
69,4,50,1,0
86,4,50,1,0
39,4,50,1,0
95,4,51,1,0
43,4,51,1,0
36,4,51,1,0
65,4,51,1,0
93,4,51,1,0
32,4,51,1,0
53,4,51,1,0
69,4,51,1,0
86,4,51,1,0
39,4,51,1,0
